city,country,region
Amsterdam,Netherlands,Europe
Auckland,New Zealand,Asia Pacific
Bangkok,Thailand,Asia Pacific
Beijing,China,Asia Pacific
Berlin,Germany,Europe
Cape Town,South Africa,Africa
Chicago,United States,North America
Dubai,United Arab Emirates,Middle East
Frankfurt,Germany,Europe
Hong Kong,China,Asia Pacific
Johannesburg,South Africa,Africa
London,United Kingdom,Europe
Los Angeles,United States,North America
Madrid,Spain,Europe
Melbourne,Australia,Asia Pacific
Mexico City,Mexico,Latin America
Miami,United States,North America
Moscow,Russia,Europe
Mumbai,India,Asia Pacific
New York,United States,North America
Paris,France,Europe
Rio de Janeiro,Brazil,Latin America
San Francisco,United States,North America
Sao Paulo,Brazil,Latin America
Singapore,Singapore,Asia Pacific
Sydney,Australia,Asia Pacific
Tokyo,Japan,Asia Pacific
Toronto,Canada,North America
Vancouver,Canada,North America
